Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.01,0.31,0.567851281
100% Corpus,4,0.01,0.61,0.580497883
100% Corpus,4,0.01,0.91,0.636805917
100% Corpus,4,0.01,symmetric,0.568876571
100% Corpus,4,0.31,0.01,0.628196113
100% Corpus,4,0.31,0.31,0.573754595
100% Corpus,4,0.31,0.61,0.591984484
100% Corpus,4,0.31,0.91,0.563534942
100% Corpus,4,0.31,symmetric,0.583063482
100% Corpus,4,0.61,0.01,0.595895882
100% Corpus,4,0.61,0.31,0.569226252
100% Corpus,4,0.61,0.61,0.609350991
100% Corpus,4,0.61,0.91,0.620476423
100% Corpus,4,0.61,symmetric,0.579778995
100% Corpus,4,0.91,0.01,0.610708264
100% Corpus,4,0.91,0.31,0.58769824
100% Corpus,4,0.91,0.61,0.621586808
100% Corpus,4,0.91,0.91,0.574281194
100% Corpus,4,0.91,symmetric,0.587306654
100% Corpus,4,symmetric,0.01,0.605485607
100% Corpus,4,symmetric,0.31,0.588496433
100% Corpus,4,symmetric,0.61,0.594158279
100% Corpus,4,symmetric,0.91,0.613117623
100% Corpus,4,symmetric,symmetric,0.573635121
100% Corpus,4,asymmetric,0.01,0.613631214
100% Corpus,4,asymmetric,0.31,0.568751687
100% Corpus,4,asymmetric,0.61,0.592820573
100% Corpus,4,asymmetric,0.91,0.543395708
100% Corpus,4,asymmetric,symmetric,0.606933406
100% Corpus,5,0.01,0.01,0.610581875
100% Corpus,5,0.01,0.31,0.552411123
100% Corpus,5,0.01,0.61,0.560095696
100% Corpus,5,0.01,0.91,0.551825245
100% Corpus,5,0.01,symmetric,0.558996136
100% Corpus,5,0.31,0.01,0.562832283
100% Corpus,5,0.31,0.31,0.59631131
100% Corpus,5,0.31,0.61,0.580847531
100% Corpus,5,0.31,0.91,0.584740936
100% Corpus,5,0.31,symmetric,0.574643613
100% Corpus,5,0.61,0.01,0.570424947
100% Corpus,5,0.61,0.31,0.613501826
100% Corpus,5,0.61,0.61,0.607341605
100% Corpus,5,0.61,0.91,0.570400421
100% Corpus,5,0.61,symmetric,0.600984005
100% Corpus,5,0.91,0.01,0.563203886
100% Corpus,5,0.91,0.31,0.603747132
100% Corpus,5,0.91,0.61,0.593754915
100% Corpus,5,0.91,0.91,0.573042533
100% Corpus,5,0.91,symmetric,0.612754489
100% Corpus,5,symmetric,0.01,0.590786222
100% Corpus,5,symmetric,0.31,0.531253261
100% Corpus,5,symmetric,0.61,0.54819877
100% Corpus,5,symmetric,0.91,0.554066094
100% Corpus,5,symmetric,symmetric,0.538861965
100% Corpus,5,asymmetric,0.01,0.588401256
100% Corpus,5,asymmetric,0.31,0.604522419
100% Corpus,5,asymmetric,0.61,0.619759243
100% Corpus,5,asymmetric,0.91,0.579478505
100% Corpus,5,asymmetric,symmetric,0.596231317
100% Corpus,6,0.01,0.01,0.543300127
100% Corpus,6,0.01,0.31,0.551367932
100% Corpus,6,0.01,0.61,0.514783402
100% Corpus,6,0.01,0.91,0.557864103
100% Corpus,6,0.01,symmetric,0.522117315
100% Corpus,6,0.31,0.01,0.538850596
100% Corpus,6,0.31,0.31,0.516890906
100% Corpus,6,0.31,0.61,0.494969235
100% Corpus,6,0.31,0.91,0.529155073
100% Corpus,6,0.31,symmetric,0.529362731
100% Corpus,6,0.61,0.01,0.576864386
100% Corpus,6,0.61,0.31,0.568604301
100% Corpus,6,0.61,0.61,0.539567116
100% Corpus,6,0.61,0.91,0.512039655
100% Corpus,6,0.61,symmetric,0.585628268
100% Corpus,6,0.91,0.01,0.564743487
100% Corpus,6,0.91,0.31,0.603333388
100% Corpus,6,0.91,0.61,0.574076531
100% Corpus,6,0.91,0.91,0.547882791
100% Corpus,6,0.91,symmetric,0.564311209
100% Corpus,6,symmetric,0.01,0.534830884
100% Corpus,6,symmetric,0.31,0.515533323
100% Corpus,6,symmetric,0.61,0.501221994
100% Corpus,6,symmetric,0.91,0.495246472
100% Corpus,6,symmetric,symmetric,0.510632281
100% Corpus,6,asymmetric,0.01,0.611659858
100% Corpus,6,asymmetric,0.31,0.529037546
100% Corpus,6,asymmetric,0.61,0.543384955
100% Corpus,6,asymmetric,0.91,0.569341955
100% Corpus,6,asymmetric,symmetric,0.581164398
100% Corpus,7,0.01,0.01,0.548987926
100% Corpus,7,0.01,0.31,0.542995951
100% Corpus,7,0.01,0.61,0.574606258
100% Corpus,7,0.01,0.91,0.528196293
100% Corpus,7,0.01,symmetric,0.542092361
100% Corpus,7,0.31,0.01,0.546299787
100% Corpus,7,0.31,0.31,0.534073354
100% Corpus,7,0.31,0.61,0.492377359
100% Corpus,7,0.31,0.91,0.55497894
100% Corpus,7,0.31,symmetric,0.545476916
100% Corpus,7,0.61,0.01,0.568440844
100% Corpus,7,0.61,0.31,0.555356827
100% Corpus,7,0.61,0.61,0.544182883
100% Corpus,7,0.61,0.91,0.57051808
100% Corpus,7,0.61,symmetric,0.576886774
100% Corpus,7,0.91,0.01,0.572040116
100% Corpus,7,0.91,0.31,0.57585231
100% Corpus,7,0.91,0.61,0.54212323
100% Corpus,7,0.91,0.91,0.527794085
100% Corpus,7,0.91,symmetric,0.57703856
100% Corpus,7,symmetric,0.01,0.55308818
100% Corpus,7,symmetric,0.31,0.522739469
100% Corpus,7,symmetric,0.61,0.569745914
100% Corpus,7,symmetric,0.91,0.57136634
100% Corpus,7,symmetric,symmetric,0.525858808
100% Corpus,7,asymmetric,0.01,0.595932098
100% Corpus,7,asymmetric,0.31,0.567403122
100% Corpus,7,asymmetric,0.61,0.604625341
100% Corpus,7,asymmetric,0.91,0.543095175
100% Corpus,7,asymmetric,symmetric,0.566000731
100% Corpus,8,0.01,0.01,0.552691926
100% Corpus,8,0.01,0.31,0.542840681
100% Corpus,8,0.01,0.61,0.606596032
100% Corpus,8,0.01,0.91,0.59056633
100% Corpus,8,0.01,symmetric,0.533325556
100% Corpus,8,0.31,0.01,0.554137178
100% Corpus,8,0.31,0.31,0.521861436
100% Corpus,8,0.31,0.61,0.540505668
100% Corpus,8,0.31,0.91,0.5358216
100% Corpus,8,0.31,symmetric,0.53146944
100% Corpus,8,0.61,0.01,0.541522986
100% Corpus,8,0.61,0.31,0.550442721
100% Corpus,8,0.61,0.61,0.560305778
100% Corpus,8,0.61,0.91,0.571198201
100% Corpus,8,0.61,symmetric,0.577384414
100% Corpus,8,0.91,0.01,0.572315307
100% Corpus,8,0.91,0.31,0.59187686
100% Corpus,8,0.91,0.61,0.566731108
100% Corpus,8,0.91,0.91,0.514473657
100% Corpus,8,0.91,symmetric,0.564283544
100% Corpus,8,symmetric,0.01,0.547126625
100% Corpus,8,symmetric,0.31,0.557262731
100% Corpus,8,symmetric,0.61,0.54826728
100% Corpus,8,symmetric,0.91,0.574291634
100% Corpus,8,symmetric,symmetric,0.574416241
100% Corpus,8,asymmetric,0.01,0.601401127
100% Corpus,8,asymmetric,0.31,0.55246779
100% Corpus,8,asymmetric,0.61,0.620081325
100% Corpus,8,asymmetric,0.91,0.590048617
100% Corpus,8,asymmetric,symmetric,0.556939422
100% Corpus,9,0.01,0.01,0.543438777
100% Corpus,9,0.01,0.31,0.553863401
100% Corpus,9,0.01,0.61,0.540087306
100% Corpus,9,0.01,0.91,0.542396075
100% Corpus,9,0.01,symmetric,0.545325015
100% Corpus,9,0.31,0.01,0.536577919
100% Corpus,9,0.31,0.31,0.536396601
100% Corpus,9,0.31,0.61,0.552969286
100% Corpus,9,0.31,0.91,0.558473875
100% Corpus,9,0.31,symmetric,0.543302248
100% Corpus,9,0.61,0.01,0.568819868
100% Corpus,9,0.61,0.31,0.558043734
100% Corpus,9,0.61,0.61,0.558771969
100% Corpus,9,0.61,0.91,0.553330143
100% Corpus,9,0.61,symmetric,0.569411828
100% Corpus,9,0.91,0.01,0.579702977
100% Corpus,9,0.91,0.31,0.600638609
100% Corpus,9,0.91,0.61,0.572383919
100% Corpus,9,0.91,0.91,0.509813088
100% Corpus,9,0.91,symmetric,0.597432106
100% Corpus,9,symmetric,0.01,0.54122709
100% Corpus,9,symmetric,0.31,0.552159081
100% Corpus,9,symmetric,0.61,0.556278665
100% Corpus,9,symmetric,0.91,0.546306179
100% Corpus,9,symmetric,symmetric,0.510661077
100% Corpus,9,asymmetric,0.01,0.605946648
100% Corpus,9,asymmetric,0.31,0.568980172
100% Corpus,9,asymmetric,0.61,0.624165003
100% Corpus,9,asymmetric,0.91,0.639972033
100% Corpus,9,asymmetric,symmetric,0.607488327
100% Corpus,10,0.01,0.01,0.562454603
100% Corpus,10,0.01,0.31,0.549586145
100% Corpus,10,0.01,0.61,0.565076926
100% Corpus,10,0.01,0.91,0.57972087
100% Corpus,10,0.01,symmetric,0.542480697
100% Corpus,10,0.31,0.01,0.573856433
100% Corpus,10,0.31,0.31,0.548866967
100% Corpus,10,0.31,0.61,0.545227738
100% Corpus,10,0.31,0.91,0.540539361
100% Corpus,10,0.31,symmetric,0.580071583
100% Corpus,10,0.61,0.01,0.578176398
100% Corpus,10,0.61,0.31,0.5758628
100% Corpus,10,0.61,0.61,0.565790608
100% Corpus,10,0.61,0.91,0.60403201
100% Corpus,10,0.61,symmetric,0.572117308
100% Corpus,10,0.91,0.01,0.566592671
100% Corpus,10,0.91,0.31,0.587082548
100% Corpus,10,0.91,0.61,0.556324677
100% Corpus,10,0.91,0.91,0.554755331
100% Corpus,10,0.91,symmetric,0.587398173
100% Corpus,10,symmetric,0.01,0.554272466
100% Corpus,10,symmetric,0.31,0.554357463
100% Corpus,10,symmetric,0.61,0.578453102
100% Corpus,10,symmetric,0.91,0.570585011
100% Corpus,10,symmetric,symmetric,0.549452998
100% Corpus,10,asymmetric,0.01,0.572292812
100% Corpus,10,asymmetric,0.31,0.58231694
100% Corpus,10,asymmetric,0.61,0.576913262
100% Corpus,10,asymmetric,0.91,0.556479998
100% Corpus,10,asymmetric,symmetric,0.575166561
